DISTRICT/MONTH,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
NORTH CACHAR,9.1713,26.086,87.2645,114.1743,169.1471,180.1856,148.4431,110.5497,103.8497,107.8588,23.1204,6.1508,1086.0013
NORTH DELHI,9.0065,8.9516,8.4024,4.8877,10.5992,32.8409,121.2038,134.8234,60.5195,11.2582,3.0754,4.7229,410.2915
NORTH DINAJPUR,11.8073,1.0984,4.3934,19.6057,89.4613,173.5406,201.5487,168.9824,221.7585,49.8105,4.9975,1.7574,948.7617
NORTH GOA,0.2197,0,0.3844,4.9426,51.7876,521.6102,649.4591,401.0105,160.525,90.999,19.2762,6.2057,1906.42
NORTH SIKKIM,33.8294,54.0941,109.5612,130.8694,195.1782,276.237,268.7682,235.1584,214.015,145.5324,23.8893,12.3016,1699.4342
NORTH TRIPURA,7.4688,20.4295,65.0228,149.816,241.6937,262.233,221.1544,201.9331,153.6603,95.4473,24.768,7.1942,1450.8211
NW DELHI,9.0065,8.9516,8.4024,4.8877,10.5992,32.8409,121.2038,134.8234,60.5195,11.2582,3.0754,4.7229,410.2915
OSMANABAD,1.8672,1.4279,2.1418,4.1188,14.4434,72.5465,84.6834,84.6834,100.4448,46.845,12.2467,2.5262,427.9751
PAKUR,8.018,7.0295,8.3475,18.7819,47.2843,125.4874,207.3151,186.2815,187.27,78.917,7.359,3.4049,885.4961
PALAKKAD,1.5926,3.5697,12.3565,54.204,87.1547,254.9838,326.9812,183.3159,98.4129,144.8734,76.1162,14.059,1257.6199
PALAMU,9.5008,7.0295,5.9311,3.8992,8.2926,77.0498,168.4332,164.1496,125.5423,25.5917,3.1303,3.2951,601.8452
PALI,2.032,1.3729,1.5926,1.4828,5.2172,23.0106,97.3694,83.9695,40.9688,6.5352,2.5262,0.659,266.7362
PALWAL(FRD),4.9975,4.3385,3.2402,2.3615,4.2287,15.4319,88.0883,94.3489,47.5589,10.9836,1.7025,1.7574,279.0379
PANCHKULA,23.9442,20.5393,15.2672,6.3156,15.3221,57.9933,179.5815,190.3454,94.0194,10.2696,6.7,10.2696,630.5672
PANCHMAHALS,0.5492,0.0549,0.3844,0.1648,3.2951,62.881,171.0693,177.1651,89.7908,13.8393,6.6451,0.9885,526.8275
PANIPAT,11.3131,8.677,6.9197,5.2172,5.4369,30.2598,96.7653,111.9776,47.504,11.9721,2.5811,4.1188,342.7426
PANNA,12.3565,8.1278,4.7779,1.3729,2.2516,61.3982,196.9905,214.9487,115.4374,17.2442,4.2836,4.2836,643.4729
PAPUM PARE,18.3975,37.2343,58.2679,124.6087,248.7781,351.7491,334.7246,276.4567,270.3608,117.9087,10.5442,6.2057,1855.2363
PARBHANI,3.1852,1.5926,4.3385,4.1188,7.9082,84.9031,118.2382,120.7645,91.9326,40.8589,9.2811,5.4918,492.6135
PATAN(MHSN),0.6041,0.4943,0.8238,0.1648,2.0869,31.2483,113.2956,91.1637,46.5155,5.6016,3.6246,0.7139,296.3371
PATHANAMTHITTA,10.8737,24.8229,40.5843,101.5432,161.843,305.8378,296.5017,193.6954,146.1914,197.3749,117.2497,28.1729,1624.6909
PATIALA,14.6631,13.5647,11.4778,5.1074,8.4024,30.1499,129.5513,114.5038,63.6498,11.5877,2.3615,7.9631,412.9825
PATNA,7.1393,5.1623,5.2721,4.4483,14.4983,68.867,183.261,145.2578,119.5563,30.4794,4.009,2.3066,590.2574
PERAMBALUR,7.1942,4.5582,6.9746,16.9147,35.9163,17.9032,27.6237,44.9778,69.1416,104.8932,85.1227,52.1171,473.3373
PEREN,6.7549,15.8164,30.6442,49.3163,88.967,169.257,200.67,206.5462,141.8529,71.5031,17.4639,3.35,1002.1419
PHEK,6.7549,15.8164,30.6442,49.3163,88.967,169.257,200.67,206.5462,141.8529,71.5031,17.4639,3.35,1002.1419
PILIBHIT,11.4778,9.2811,7.8533,3.1852,12.6311,61.8925,179.3069,188.643,113.076,40.4196,2.4164,4.3385,634.5214
PITHORAGARH,27.6237,31.5229,36.0261,25.3721,51.3482,164.534,305.2337,295.9526,161.2389,35.8614,6.8647,10.5992,1152.1775
PONDICHERRY,9.8303,10.7639,9.1164,5.8762,23.9442,25.7565,46.2958,70.1851,69.1966,148.6627,202.3725,111.9776,733.9778
POONCH,76.281,68.208,87.0449,54.3687,38.2229,64.0343,189.0274,105.1678,59.4212,15.0475,22.1868,30.5344,809.5449
PORBANDAR,0.2746,0.4943,0.7139,0.0549,0.8787,91.3285,152.2873,79.9605,45.8564,13.8393,7.5238,0.3295,393.5417
PRAKASAM,4.3385,4.8328,5.7664,8.1828,28.7221,35.3122,54.5335,52.6663,67.549,99.8957,63.1556,17.6286,442.5835
PRATAPGARH,8.3475,5.4369,4.4483,1.0984,4.9426,44.9778,158.548,156.0217,108.2432,18.8368,3.7344,3.5697,518.2053
PRATAPGARH(CHT,1.977,0.659,1.8672,1.8123,3.1852,59.4761,155.5824,159.4816,89.9555,18.0131,9.0065,1.6475,502.6634
PUDUKKOTTAI,12.741,5.4369,7.4139,18.7819,27.3491,24.4934,43.5499,59.8605,64.6384,86.7703,80.7842,55.522,487.3415
PULWAMA,23.3401,26.4704,42.3966,39.7606,31.7975,14.0041,23.3401,26.0311,19.7704,11.5328,7.0844,11.5877,277.1158
PUNE,0.3295,0.0549,0.8787,4.1738,15.0475,86.1662,171.8381,123.6202,91.2186,47.8335,13.345,3.2951,557.8011
PURI,8.8418,14.1688,10.3795,9.6656,35.8614,92.7563,147.4546,180.3504,140.4251,101.7629,30.9188,5.1623,777.7475
PURNEA,4.9975,4.9426,7.0844,18.5073,66.7802,134.439,238.4535,185.952,162.3922,45.8015,4.5033,3.8443,877.6978
PURULIA,7.8533,11.368,13.5098,19.8254,31.468,121.9727,164.0398,168.5979,146.466,50.2499,9.1713,4.1738,748.6959
RAE BARELI,7.6885,5.1074,3.1852,1.6475,4.1738,37.7286,141.5234,140.5349,92.2621,29.3811,0.8238,4.3934,468.4497
RAICHUR,0.7689,1.0984,2.2516,9.7205,22.2417,44.8679,60.5195,67.1097,81.0039,60.6843,11.7524,3.2402,365.259
RAIGAD,0.1098,0.1098,0.0549,0.9885,11.1483,360.7008,664.3967,468.3398,218.738,62.9359,10.8188,2.3615,1800.7028
RAIGARH,6.041,7.0295,6.3705,6.2606,10.05,98.7424,204.9536,196.002,128.2882,27.1844,3.6246,2.8557,697.4025
RAIPUR,3.5697,4.668,6.7549,5.0524,9.0615,93.5252,193.8053,179.6364,108.0235,28.8868,4.0639,2.5262,639.5738
RAISEN,5.6016,5.1623,3.5147,0.9885,3.5147,70.7892,204.8987,222.9117,113.6251,18.068,5.4369,4.7779,659.2893
RAJGARH,5.5467,2.1418,2.6361,0.7689,3.0754,51.9523,165.5775,186.4463,84.9031,14.8278,8.018,4.9975,530.8914
RAJKOT,0.1648,0,0.4943,0.2197,1.5926,53.0507,118.8423,79.1916,45.5269,12.5762,5.5467,0.8238,318.0296
RAJNANDGAON,4.9426,5.0524,6.9197,4.2836,8.5123,92.976,193.0913,187.3249,117.8538,33.445,4.6131,5.1074,664.1221
RAJOURI,32.5663,36.6302,33.2802,12.9606,15.1024,25.4819,136.7456,139.3816,55.0827,21.3081,6.2057,10.9287,525.674
RAJSAMAND,2.1967,1.2082,2.032,1.4279,6.7549,37.3991,97.0948,97.5342,45.8564,7.5238,3.7893,1.7025,304.5198
RAMANATHAPURA,18.1229,10.05,12.9057,29.1065,21.418,9.2811,16.5303,24.2737,31.9073,100.1702,102.8063,67.0548,443.6268
RAMBAN(DDA),79.3564,104.7833,116.2063,62.0023,46.6802,33.7196,72.6015,66.0113,47.6687,23.1204,23.9442,53.4351,729.5293
RAMGARH,6.8647,8.2377,7.3041,11.368,25.9762,113.735,177.8242,157.834,129.3316,37.7835,5.0524,4.2287,685.5401
RAMNAGAR(BNGR),0.8238,2.5811,5.6016,26.3057,67.1646,40.145,46.4056,59.7507,103.026,95.6121,29.6557,8.2377,485.3096
RAMPUR,11.9172,12.3565,10.5442,4.0639,12.1918,58.7622,182.0528,176.3963,85.5621,18.6721,2.1967,6.0959,580.8117
RANCHI,12.027,14.718,11.9172,12.9606,26.5253,119.3915,196.1118,188.9725,132.6816,43.2204,6.5352,5.5467,770.6078
RANGAREDDY,1.7025,2.1967,4.0639,11.5877,19.0016,60.0802,104.6735,96.9301,97.3145,51.8974,10.4893,2.3615,462.2989
RATLAM,2.5811,1.0434,1.1533,1.0984,2.8008,57.0597,162.2275,164.3144,94.8981,22.5713,6.9746,3.7893,520.5119
RATNAGIRI,0.0549,0,0.0549,1.9221,17.409,455.7636,665.9893,471.8546,197.5397,78.5875,13.6746,3.1303,1905.9805
RAYAGADA,6.8098,12.686,21.1434,30.754,51.6228,95.1178,172.7717,146.3562,113.2407,60.0802,15.9262,2.1967,728.7055
REASI,55.7417,51.0736,46.4605,23.8893,21.9672,45.6917,241.9133,305.8378,132.9013,23.1754,6.7,31.2483,986.6001
REWA,9.8852,7.6336,5.7115,1.6475,2.5811,66.6703,168.5979,179.4168,118.9522,17.2442,4.8328,3.6246,586.7977
REWARI,4.9975,4.7779,2.8557,1.6475,5.4369,18.1778,82.4318,100.7743,37.9483,7.2492,1.9221,2.0869,270.3059
RI-BHOI,8.8967,8.2926,30.6442,64.3089,150.0906,186.9954,233.7306,219.7814,172.0029,68.867,14.1139,4.8328,1162.557
ROHTAK,10.5992,9.2262,9.7205,5.1074,10.8737,27.1844,106.5956,107.5292,37.6737,7.359,3.1852,4.3385,339.3926
ROHTAS,7.1393,7.0295,4.9975,3.2402,7.6336,49.4261,151.1341,152.8914,104.8383,23.6147,6.6451,2.6361,521.2259
RUDRAPRAYAG,41.5179,40.2548,46.8999,30.0401,51.6777,119.5563,317.4254,351.145,129.6062,28.8868,7.5238,16.695,1181.2289
RUPNAGAR,22.8458,21.3631,28.118,8.0729,14.059,35.9163,159.8111,138.8874,65.4621,10.8188,7.2492,12.686,525.2897
SABARKANTHA,0.6041,0.3295,1.2631,0.7689,2.4713,48.9318,158.7127,143.2259,76.7752,10.1598,4.009,1.0434,448.2947
SAGAR,9.7754,6.7,5.4918,1.2631,3.7893,70.1302,193.6405,225.1634,108.6276,18.2877,6.3156,5.5467,654.7313
SAHARANPUR,14.7729,14.5532,11.6975,3.1303,11.6426,51.9523,152.1226,165.6324,72.1621,18.9467,4.5582,8.1828,529.3536
